,0
0,"Alvarado Ramírez, Miguel Ángel"
1,"Arriagada Macaya, Claudio"
2,"Bellolio Avaria, Jaime"
3,"Berger Fett, Bernardo"
4,"Browne Urrejola, Pedro"
5,"Campos Jara, Cristián"
6,"Carvajal Ambiado, Loreto"
7,"Ceroni Fuentes, Guillermo"
8,"Coloma Alamos, Juan Antonio"
9,"Cornejo González, Aldo"
10,"Espejo Yaksic, Sergio"
11,"Espinosa Monardes, Marcos"
12,"Espinoza Sandoval, Fidel"
13,"Farcas Guendelman, Daniel"
14,"Farías Ponce, Ramón"
15,"Fuenzalida Figueroa, Gonzalo"
16,"González Torres, Rodrigo"
17,"Hernando Pérez, Marcela"
18,"Hoffmann Opazo, María José"
19,"Jaramillo Becker, Enrique"
20,"Jarpa Wevar, Carlos Abel"
21,"Jiménez Fuentes, Tucapel"
22,"Kast Sommerhoff, Felipe"
23,"Lemus Aracena, Luis"
24,"León Ramírez, Roberto"
25,"Macaya Danús, Javier"
26,"Melero Abaroa, Patricio"
27,"Morales Muñoz, Celso"
28,"Norambuena Farías, Iván"
29,"Núñez Lozano, Marco Antonio"
30,"Ortiz Novoa, José Miguel"
31,"Pérez Arriagada, José"
32,"Pilowsky Greene, Jaime"
33,"Poblete Zapata, Roberto"
34,"Provoste Campillay, Yasna"
35,"Robles Pantoja, Alberto"
36,"Sandoval Plaza, David"
37,"Silber Romo, Gabriel"
38,"Silva Méndez, Ernesto"
39,"Squella Ovalle, Arturo"
40,"Torres Jeldes, Víctor"
41,"Trisotti Martínez, Renzo"
42,"Turres Figueroa, Marisol"
43,"Ulloa Aguillón, Jorge"
44,"Urízar Muñoz, Christian"
45,"Urrutia Bonilla, Ignacio"
46,"Urrutia Soto, Osvaldo"
47,"Verdugo Soto, Germán"
48,"Walker Prieto, Matías"
49,"Aguiló Melo, Sergio"
50,"Andrade Lara, Osvaldo"
51,"Boric Font, Gabriel"
52,"Cariola Oliva, Karol"
53,"Chahin Valenzuela, Fuad"
54,"De Mussy Hiriart, Felipe"
55,"Gahona Salazar, Sergio"
56,"Gutiérrez Gálvez, Hugo"
57,"Jackson Drago, Giorgio"
58,"Pacheco Rivas, Clemira"
59,"Pérez Lahsen, Leopoldo"
60,"Sabag Villalobos, Jorge"
61,"Sabat Fernández, Marcela"
62,"Saffirio Espinoza, René"
63,"Sepúlveda Orbenes, Alejandra"
64,"Teillier Del Valle, Guillermo"
65,"Vallejo Dowling, Camila"
66,"Vallespín López, Patricio"
67,"Alvarez-Salamanca Ramírez, Pedro Pablo"
68,"Auth Stewart, Pepe"
69,"Chávez Velásquez, Marcelo"
70,"Cicardini Milla, Daniella"
71,"Fuentes Castillo, Iván"
72,"Girardi Lavín, Cristina"
73,"Letelier Norambuena, Felipe"
74,"Lorenzini Basso, Pablo"
75,"Melo Contreras, Daniel"
76,"Saldívar Auger, Raúl"
77,"Schilling Rodríguez, Marcelo"
78,"Soto Ferrada, Leonardo"
79,"Tarud Daccarett, Jorge"
80,"Rubilar Barahona, Karla"
81,"Becker Alvear, Germán"
82,"Carmona Soto, Lautaro"
83,"Lavín León, Joaquín"
84,"Meza Moncada, Fernando"
85,"Monckeberg Bruner, Cristián"
86,"Ojeda Uribe, Sergio"
87,"Paulsen Kehr, Diego"
88,"Rathgeb Schifferli, Jorge"
89,"Santana Tirachini, Alejandro"
90,"Ward Edwards, Felipe"
91,"Castro González, Juan Luis"
92,"Alvarez Vera, Jenny"
93,"Morano Cornejo, Juan Enrique"
94,"Barros Montero, Ramón"
95,"Edwards Silva, Rojo"
96,"Flores García, Iván"
97,"García García, René Manuel"
98,"Godoy Ibáñez, Joaquín"
99,"Hasbún Selume, Gustavo"
100,"Hernández Hernández, Javier"
101,"Mirosevic Verdugo, Vlado"
102,"Molina Oliva, Andrea"
103,"Monckeberg Díaz, Nicolás"
104,"Monsalve Benavides, Manuel"
105,"Nogueira Fernández, Claudia"
106,"Núñez Arancibia, Daniel"
107,"Núñez Urrutia, Paulina"
108,"Rincón González, Ricardo"
109,"Rocafull López, Luis"
110,"Venegas Cárdenas, Mario"
111,"Van Rysselberghe Herrera, Enrique"
112,"Kort Garriga, Issa"
113,"Kast Rist, José Antonio"
