,Person,vote,date,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date1,dateDoc
2017-07-06 12:21:00,"Alvarado Ramírez, Miguel Ángel",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Arriagada Macaya, Claudio",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Bellolio Avaria, Jaime",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Berger Fett, Bernardo",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Browne Urrejola, Pedro",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Campos Jara, Cristián",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Carvajal Ambiado, Loreto",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Ceroni Fuentes, Guillermo",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Coloma Alamos, Juan Antonio",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Cornejo González, Aldo",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Espejo Yaksic, Sergio",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
