,Person,vote,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date,dateDoc
0,"Alvarado Ramírez, Miguel Ángel",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
1,"Arriagada Macaya, Claudio",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2,"Bellolio Avaria, Jaime",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
3,"Berger Fett, Bernardo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
4,"Browne Urrejola, Pedro",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
5,"Campos Jara, Cristián",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
6,"Carvajal Ambiado, Loreto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
7,"Ceroni Fuentes, Guillermo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
8,"Coloma Alamos, Juan Antonio",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
9,"Cornejo González, Aldo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
10,"Espejo Yaksic, Sergio",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
